team,opponent,win_rate
Royal Challengers Bangalore,Chennai Super Kings,0.3333333333333333
Royal Challengers Bangalore,Deccan Chargers,0.45454545454545453
Royal Challengers Bangalore,Delhi Capitals,0.4444444444444444
Royal Challengers Bangalore,Delhi Daredevils,0.6842105263157895
Royal Challengers Bangalore,Gujarat Lions,0.6
Royal Challengers Bangalore,Gujarat Titans,0.3333333333333333
Royal Challengers Bangalore,Kings XI Punjab,0.46153846153846156
Royal Challengers Bangalore,Kochi Tuskers Kerala,1.0
Royal Challengers Bangalore,Kolkata Knight Riders,0.4375
Royal Challengers Bangalore,Lucknow Super Giants,0.75
Royal Challengers Bangalore,Mumbai Indians,0.41935483870967744
Royal Challengers Bangalore,Pune Warriors,1.0
Royal Challengers Bangalore,Punjab Kings,0.4
Royal Challengers Bangalore,Rajasthan Royals,0.5555555555555556
Royal Challengers Bangalore,Rising Pune Supergiant,0.0
Royal Challengers Bangalore,Rising Pune Supergiants,1.0
Royal Challengers Bangalore,Sunrisers Hyderabad,0.47619047619047616
Sunrisers Hyderabad,Chennai Super Kings,0.2631578947368421
Sunrisers Hyderabad,Delhi Capitals,0.4
Sunrisers Hyderabad,Delhi Daredevils,0.6666666666666666
Sunrisers Hyderabad,Gujarat Lions,1.0
Sunrisers Hyderabad,Gujarat Titans,0.3333333333333333
Sunrisers Hyderabad,Kings XI Punjab,0.6875
Sunrisers Hyderabad,Kolkata Knight Riders,0.375
Sunrisers Hyderabad,Lucknow Super Giants,0.0
Sunrisers Hyderabad,Mumbai Indians,0.45
Sunrisers Hyderabad,Pune Warriors,1.0
Sunrisers Hyderabad,Punjab Kings,0.6
Sunrisers Hyderabad,Rajasthan Royals,0.5
Sunrisers Hyderabad,Rising Pune Supergiant,0.0
Sunrisers Hyderabad,Rising Pune Supergiants,0.5
Sunrisers Hyderabad,Royal Challengers Bangalore,0.5238095238095238
